id,product_name,current_price,previous_price,in_stock,product_picture,flash_sale,product_description,rating
1,Panasonic DMC-L1 7.5MP,139.99,160.0,10,../static/images/product-1.jpg,1,"High-quality digital camera with 7.5MP resolution, delivering exceptional image clarity and detail. Perfect for photography enthusiasts who value reliability and versatility.",4.5
2,Adidas T-shirt,19.99,24.55,101,../static/images/product-2.jpg,1,"Comfortable and stylish Adidas T-shirt made from breathable fabric. Ideal for both casual outings and workouts, offering a sleek design and durability.",4.7
3,Table Lamp,120.0,150.45,23,../static/images/product-3.jpg,1,"Modern table lamp with adjustable brightness settings and an elegant design. Perfect for creating a cozy atmosphere in any room, whether for reading or ambient lighting.",4.3
4,Nike Shoes,89.99,100.0,7,../static/images/product-4.jpg,1,"Durable and comfortable Nike running shoes designed for superior performance. Features lightweight materials and enhanced cushioning for long-lasting comfort and support.",4.8
5,Drone,250.0,300.0,20,../static/images/product-5.jpg,1,"High-performance drone equipped with a 4K camera for stunning aerial photography and videography. Offers advanced features such as GPS navigation and long battery life for extended flights.",4.6
6,Apple Watch,420.0,550.0,16,../static/images/product-6.jpg,1,"Smartwatch with fitness tracking, health monitoring, and notifications. Packed with advanced features like heart rate monitoring, GPS, and customizable watch faces for seamless daily integration.",4.9
7,Black Blouse,139.99,150.0,10,../static/images/product-7.jpg,1,"Stylish black blouse suitable for both casual and formal wear. Made from premium fabric, it offers a flattering fit and timeless design for every occasion.",4.4
8,Curology,19.99,24.55,101,../static/images/product-8.jpg,1,"Personalized skincare treatment tailored to your unique skin needs. Combines expert formulations with high-quality ingredients to achieve visibly healthier skin.",4.7
9,Chair,111.55,130.45,23,../static/images/product-9.jpg,0,"Ergonomic office chair with lumbar support designed for maximum comfort during long work hours. Features adjustable height, tilt functionality, and a sleek modern design.",4.2
10,Wireless Earbuds,59.99,79.99,50,../static/images/product-10.jpg,1,"Compact and high-quality wireless earbuds with noise cancellation and long battery life. Perfect for music lovers and professionals on the go.",4.6
11,Smart Thermostat,199.99,249.99,15,../static/images/product-11.jpg,1,"Energy-efficient smart thermostat with remote control via smartphone app. Helps you save on energy bills while maintaining a comfortable home environment.",4.8
12,Electric Kettle,39.99,49.99,30,../static/images/product-12.jpg,1,"Fast-boiling electric kettle with temperature control and auto shut-off feature. Ideal for making tea, coffee, and other hot beverages quickly and safely.",4.5
13,Running Shorts,29.99,34.99,75,../static/images/product-13.jpg,1,"Lightweight and breathable running shorts designed for maximum comfort and performance. Features moisture-wicking fabric and a secure fit.",4.4
14,4K TV,799.99,999.99,8,../static/images/product-14.jpg,1,"Ultra HD 4K TV with stunning picture quality and smart features. Perfect for home entertainment, offering a cinematic viewing experience.",4.7
15,Espresso Machine,249.99,299.99,12,../static/images/product-15.jpg,1,"Professional-grade espresso machine with multiple brewing options and a built-in grinder. Ideal for coffee enthusiasts who appreciate quality and convenience.",4.9
16,Panasonic Lumix G7,499.99,599.99,5,../static/images/product-16.jpg,1,"Mirrorless camera with 4K video recording and interchangeable lenses. Ideal for both photography and videography enthusiasts.",4.8
17,Panasonic Cordless Phone,79.99,99.99,40,../static/images/product-17.jpg,1,"Reliable cordless phone with answering machine and caller ID. Offers clear sound quality and long battery life for uninterrupted communication.",4.5
18,Leather Wallet,49.99,59.99,25,../static/images/product-18.jpg,1,"Premium leather wallet with multiple card slots and a sleek design. Perfect for keeping your essentials organized and stylish.",4.6
19,Blender,89.99,109.99,18,../static/images/product-19.jpg,1,"High-speed blender with multiple settings for smoothies, soups, and more. Features a durable design and easy-to-clean components.",4.7
20,Wireless Mouse,29.99,39.99,60,../static/images/product-20.jpg,1,"Ergonomic wireless mouse with adjustable DPI settings and long battery life. Ideal for both work and gaming, offering precision and comfort.",4.5
